Time [s],Event Name,Chamber,Event Text,O2 Concentration  (A) [nmol/ml],O2 Slope uncorr.  (A) [pmol/(s*ml)],O2 Concentration  (B) [nmol/ml],O2 Slope uncorr.  (B) [pmol/(s*ml)],Amp  (A) [µM],Amp - slope  (A) [pmol/(s*ml)],Amp  (B) [µM],Amp - slope  (B) [pmol/(s*ml)]
1140,"c57, 3xTg, LOff","Left, Right, Both",Light off,177.5543,1.6672,177.4236,3.3339,-0.7286,0.0171,-0.5525,-0.0207
1142,,,,177.5543,1.7682,177.4184,3.2297,-0.7286,0.0137,-0.5529,-0.0207
1144,,,,177.5795,1.8187,177.4184,3.1255,-0.7279,0.0137,-0.5533,-0.0165
1146,,,,177.5896,1.8693,177.3975,3.0734,-0.7279,0.0137,-0.5533,-0.0165
1148,,,,177.5846,1.9198,177.3611,3.0213,-0.7279,0.0171,-0.5521,-0.0124
1150,,,,177.5846,1.9703,177.3246,2.9692,-0.7282,0.0171,-0.5525,-0.0083
1152,,,,177.5896,1.9703,177.309,3.0213,-0.7279,0.0171,-0.5533,-0.0083
1154,,,,177.5947,1.9198,177.3194,3.0734,-0.7275,0.0171,-0.5529,-0.0041
1156,,,,177.5846,1.9198,177.3038,3.0734,-0.7275,0.0171,-0.5533,-0.0041
1158,,,,177.5795,1.9198,177.2934,3.1776,-0.7272,0.0171,-0.5529,0
1160,,,,177.5795,1.8693,177.2986,3.2297,-0.7272,0.0205,-0.5525,0
1162,,,,177.5896,1.8187,177.3038,3.1776,-0.7272,0.024,-0.5533,0
1164,,,,177.5947,1.7177,177.309,3.1255,-0.7265,0.0274,-0.5537,0.0041
1166,,,,177.5947,1.6167,177.2934,3.0734,-0.7265,0.0274,-0.5533,0.0041
1168,,,,177.5997,1.5156,177.2934,3.1255,-0.7268,0.0274,-0.5542,0
1170,,,,177.5745,1.5156,177.2934,3.1776,-0.7265,0.0274,-0.5533,0
1172,,,,177.5593,1.4651,177.2882,3.1776,-0.7272,0.0274,-0.5533,0
1174,,,,177.5492,1.4651,177.2673,3.2297,-0.7265,0.0274,-0.5529,0.0041
1176,,,,177.5644,1.3641,177.2569,3.3339,-0.7272,0.0274,-0.5537,0.0041
1178,,,,177.5543,1.3135,177.2725,3.3339,-0.7272,0.0274,-0.5558,0
1180,,,,177.5593,1.263,177.2829,3.2297,-0.7275,0.0274,-0.555,0
1182,,,,177.5543,1.263,177.2621,3.1776,-0.7275,0.0274,-0.5537,0
1184,,,,177.529,1.263,177.2204,3.1776,-0.7272,0.0274,-0.5537,0
1186,,,,177.5239,1.2125,177.2152,3.2297,-0.7268,0.0274,-0.5546,0
1188,,,,177.5189,1.263,177.2309,3.2297,-0.7265,0.0274,-0.5537,0
1190,,,,177.5088,1.3135,177.2465,3.1776,-0.7265,0.0274,-0.555,-0.0041
1192,,,,177.4936,1.4146,177.2361,3.1255,-0.7268,0.0274,-0.5542,-0.0041
1194,,,,177.4431,1.5661,177.1996,3.1776,-0.7262,0.0274,-0.5542,-0.0041
1196,,,,177.4431,1.7177,177.1788,3.2818,-0.7268,0.024,-0.5533,-0.0041
1198,,,,177.4734,1.7177,177.1683,3.3859,-0.7268,0.024,-0.5537,-0.0041
1200,,,,177.4886,1.6672,177.1631,3.438,-0.7279,0.0205,-0.5529,-0.0041
1202,,,,177.4785,1.7177,177.1736,3.4901,-0.7272,0.0171,-0.5542,-0.0083
1204,,,,177.5239,1.6672,177.1579,3.5422,-0.7272,0.0205,-0.5542,-0.0124
1206,,,,177.8978,0.9094,177.1527,3.5422,-0.7275,0.0205,-0.5546,-0.0124
1208,,,,178.5091,-0.9599,177.1423,3.5943,-0.7268,0.0205,-0.5546,-0.0165
1210,,,,178.888,-3.4354,177.1058,3.6464,-0.7272,0.0205,-0.5537,-0.0165
1212,,,,179.0749,-6.0625,177.0798,3.7506,-0.7279,0.0171,-0.5546,-0.0207
1214,Rot,Both,,179.1911,-8.74,177.1163,3.8027,-0.7279,0.0137,-0.5546,-0.0207
1216,,,,179.272,-11.3671,177.5851,2.9692,-0.7282,0.0103,-0.5537,-0.0207
1218,,,,179.3275,-13.9437,178.1893,0.9897,-0.7265,0.0068,-0.5529,-0.0165
1220,,,,179.3528,-16.4192,178.554,-1.5627,-0.7265,0.0068,-0.5537,-0.0165
1222,,,,179.3578,-18.6926,178.7311,-4.3757,-0.7268,0.0068,-0.5537,-0.0165
1224,,,,179.3528,-20.8144,178.8196,-7.1886,-0.7272,0.0034,-0.5529,-0.0124
1226,,,,179.3477,-22.8353,178.8978,-10.0016,-0.7272,0.0034,-0.5533,-0.0124
1228,,,,179.3376,-24.6035,178.9603,-12.6582,-0.7262,0.0034,-0.5533,-0.0083
1230,,,,179.3477,-26.2707,178.9915,-15.2107,-0.7268,0,-0.5533,-0.0041
1232,,,,179.3427,-27.7357,179.0176,-17.6069,-0.7265,0,-0.5537,-0.0041
1234,,,,179.3376,-29.0998,179.0384,-19.8989,-0.7268,0,-0.5542,-0.0041
1236,,,,179.3528,-30.2618,179.0384,-21.9826,-0.7265,0,-0.555,-0.0041
1238,,,,179.3477,-31.2217,179.0228,-23.8579,-0.7272,0,-0.5554,-0.0041
1240,,,,179.3528,-32.0805,179.0072,-25.5769,-0.7268,0,-0.555,-0.0041
1242,,,,179.373,-32.7878,178.9968,-27.1397,-0.7272,0,-0.5554,-0.0041
1244,,,,179.373,-33.3435,178.9863,-28.494,-0.7279,-0.0034,-0.5554,-0.0083
1246,,,,179.3528,-33.6972,179.002,-29.6921,-0.7282,-0.0034,-0.555,-0.0083
1248,,,,179.3477,-33.8992,179.0228,-30.7861,-0.7279,-0.0034,-0.555,-0.0083
1250,,,,179.3629,-33.8992,179.0384,-31.7758,-0.7282,-0.0068,-0.555,-0.0083
1252,,,,179.378,-33.7477,179.0124,-32.5051,-0.7289,-0.0103,-0.555,-0.0083
1254,,,,179.3831,-33.394,179.0176,-33.026,-0.7279,-0.0103,-0.5542,-0.0083
1256,,,,179.378,-32.8888,179.0228,-33.3906,-0.7272,-0.0103,-0.5558,-0.0083
1258,,,,179.373,-32.1816,179.0541,-33.7032,-0.7275,-0.0103,-0.5542,-0.0124
1260,,,,179.3932,-31.3732,179.0853,-33.9116,-0.7268,-0.0103,-0.5546,-0.0124
1262,,,,179.3831,-30.3628,179.0957,-33.9116,-0.7268,-0.0103,-0.5542,-0.0124
1264,,,,179.3679,-29.0998,179.0853,-33.6511,-0.7275,-0.0103,-0.5542,-0.0124
1266,,,,179.3679,-27.6347,179.0697,-33.1823,-0.7282,-0.0103,-0.5537,-0.0124
1268,,,,179.373,-26.0181,179.0436,-32.5051,-0.7272,-0.0103,-0.5542,-0.0124
1270,,,,179.3831,-24.2498,179.0645,-31.7237,-0.7275,-0.0103,-0.5542,-0.0124
1272,,,,179.3629,-22.1785,179.0853,-30.7861,-0.7262,-0.0068,-0.5546,-0.0124
1274,,,,179.378,-19.9051,179.0905,-29.6401,-0.7262,-0.0034,-0.555,-0.0124
1276,,,,179.3831,-17.4801,179.0801,-28.2336,-0.7272,0,-0.5546,-0.0124
1278,,,,179.3679,-14.853,179.0853,-26.6708,-0.7268,0,-0.5546,-0.0124
1280,,,,179.3629,-12.0744,179.0905,-24.8997,-0.7272,0,-0.5554,-0.0124
1282,,,,179.3376,-9.0937,179.0645,-22.9723,-0.7272,0,-0.5558,-0.0124
1284,,,,179.3225,-5.9614,179.0436,-20.7324,-0.7272,0,-0.5554,-0.0165
1286,,,,179.3275,-3.3849,179.0488,-18.3362,-0.7272,0,-0.5566,-0.0207
1288,,,,179.3427,-1.9198,179.0645,-15.7837,-0.7275,0,-0.5571,-0.0248
1290,,,,179.3578,-1.1115,179.0593,-12.9708,-0.7275,0,-0.5566,-0.0248
1292,,,,179.3679,-0.6062,179.0488,-9.8974,-0.7279,-0.0034,-0.5566,-0.029
1294,,,,179.378,-0.3536,179.0332,-6.6677,-0.7279,-0.0068,-0.5554,-0.029
1296,,,,179.378,-0.2021,179.0176,-4.1152,-0.7275,-0.0068,-0.5554,-0.029
1298,,,,179.3477,-0.1516,179.002,-2.6046,-0.7275,-0.0068,-0.5554,-0.029
1300,,,,179.3326,-0.0505,178.9915,-1.719,-0.7279,-0.0068,-0.5537,-0.0248
1302,,,,179.3477,-0.0505,179.0124,-1.0939,-0.7282,-0.0068,-0.555,-0.0207
1304,,,,179.3477,0,179.0176,-0.6772,-0.7275,-0.0068,-0.555,-0.0207
1306,,,,179.3427,0.0505,179.0176,-0.3646,-0.7275,-0.0068,-0.5537,-0.0124
1308,,,,179.3477,0.101,179.0124,-0.2084,-0.7279,-0.0068,-0.5542,-0.0083
1310,,,,179.3528,0.1516,179.002,-0.0521,-0.7279,-0.0068,-0.5542,-0.0041
1312,,,,179.3578,0.2021,178.9915,0.1042,-0.7272,-0.0034,-0.5537,0
1314,,,,179.3528,0.2526,178.9863,0.2084,-0.7275,-0.0034,-0.5546,0
1316,,,,179.3427,0.3031,178.9811,0.3125,-0.7275,0,-0.5554,0
1318,,,,179.3477,0.3536,178.9863,0.4167,-0.7279,0,-0.5558,0
1320,,,,179.3578,0.3536,178.9863,0.573,-0.7286,-0.0034,-0.5558,-0.0041
1322,,,,179.3578,0.3536,178.9759,0.7293,-0.732,-0.0103,-0.5562,-0.0083
1324,,,,179.3225,0.4042,178.9968,0.8856,-0.7231,0,-0.5562,-0.0083
1326,,,,179.3882,0.3536,179.0436,0.9376,-0.7234,0.0034,-0.555,-0.0083
1328,,,,179.4639,0.2021,179.1009,0.8335,-0.7248,0.0103,-0.5554,-0.0083
1330,,,,179.5195,-0.101,179.1114,0.7293,-0.7245,0.0137,-0.5558,-0.0124
1332,AR,Both,,179.5246,-0.4042,179.0853,0.6772,-0.7231,0.0171,-0.5554,-0.0124
1334,,,,179.5195,-0.7073,179.0593,0.6772,-0.7241,0.0205,-0.5529,-0.0041
1336,,,,179.5246,-0.9599,179.127,0.573,-0.7231,0.0274,-0.5521,-0.0041
1338,,,,179.5347,-1.263,179.2051,0.2605,-0.7227,0.0342,-0.5525,0.0041
1340,,,,179.5246,-1.5661,179.2468,-0.1563,-0.7227,0.0411,-0.5529,0.0083
1342,,,,179.5145,-1.7682,179.2572,-0.6251,-0.7221,0.0479,-0.5533,0.0124
1344,,,,179.5145,-1.9703,179.2468,-1.0418,-0.7217,0.0582,-0.5529,0.0165
1346,,,,179.5296,-2.1724,179.2312,-1.3544,-0.7214,0.0616,-0.5521,0.0248
1348,,,,179.5397,-2.3745,179.2572,-1.6669,-0.7221,0.0685,-0.5513,0.0331
1350,,,,179.5296,-2.5765,179.2676,-2.0316,-0.7221,0.0719,-0.5513,0.0372
1352,,,,179.5296,-2.7281,179.2885,-2.3962,-0.7221,0.0787,-0.5517,0.0455
1354,,,,179.5296,-2.9302,179.3145,-2.865,-0.7221,0.0856,-0.5517,0.0496
1356,,,,179.5498,-3.1323,179.3093,-3.2818,-0.7224,0.089,-0.5513,0.0538
1358,,,,179.5549,-3.2838,179.2728,-3.5943,-0.7221,0.0924,-0.5509,0.062
1360,,,,179.5448,-3.3849,179.2624,-3.8548,-0.7214,0.0993,-0.5509,0.0662
1362,,,,179.5296,-3.3849,179.2572,-4.1152,-0.7207,0.1027,-0.5517,0.0662
1364,,,,179.5246,-3.3849,179.2312,-4.2194,-0.7203,0.1095,-0.5521,0.0662
1366,,,,179.5195,-3.3344,179.226,-4.2715,-0.72,0.113,-0.5517,0.0662
1368,,,,179.5246,-3.2838,179.252,-4.4278,-0.7207,0.1164,-0.5509,0.0662
1370,,,,179.5145,-3.2333,179.278,-4.6361,-0.7203,0.1198,-0.5509,0.0662
1372,,,,179.5043,-3.1828,179.2728,-4.7403,-0.72,0.1198,-0.5504,0.0662
1374,,,,179.5296,-3.1828,179.2572,-4.7924,-0.721,0.1198,-0.5496,0.0703
1376,,,,179.5448,-3.2333,179.252,-4.7924,-0.721,0.1198,-0.5504,0.0703
1378,,,,179.5448,-3.1828,179.226,-4.6882,-0.7207,0.1198,-0.5504,0.0703
